References,Family,Status,,ID Number,Name,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Norwegian,Definition in English,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,Laura Janda,,105,VERB-IMPER gjerne,Kom gjerne på mandag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,106,[NOEN] ta [NOE] for god fisk,Tar du hans ord for god fisk?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,107,[NOEN] senke skuldrene,Bare senk skuldrene!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[NOE] eller V-INF,Laura Janda,,108,[NOEN] bli fristet til VERB-INF,De blir fristet til å ta snarveier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,109,liste over X,Vi har en liste over relevante publikasjoner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,110,X i snitt,De har i snitt færre publikasjoner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,111,bak X,en av forskerne bak studien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,112,[NOE/NOEN] belønne [NOE/NOEN] framfor [NOE/NOEN],Publiseringssystemet belønner kvantitet framfor kvalitet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,113,[NOEN] stille spørsmål ved [NOE],Den nye studien stiller spørsmål ved denne praksisen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,114,[NOEN] stå overfor [NOE],Yngre forskere står overfor et særlig høyt press.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,115,[NOEN] bli/være utsatt for [NOE],De er utsatt for diskriminering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,116,[NOE/NOEN] sette grenser for [NOE/NOEN],De vil blant annet sette grenser for hvor mange publikasjoner og medforfattere som skal telle fullt ut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,117,[NOEN] ta hensyn til [NOE],Forslaget deres tar også hensyn til forskernes karrierelengde.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,118,[NOE/NOEN] stikke kjepper i hjulene for [NOE/NOEN],Dette er kun et knippe av ordene som kan stikke kjepper i hjulene for offentlig forskningsfinansiering i USA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,119,[NOEN] bryte med [NOE/NOEN],for å sjekke at de ikke bryter med noen av Trumps nye presidentordrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,120,enten X eller Y,Slike flaggede prosjekter kan enten stanses helt eller må endres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,121,[NOE/NOEN] stå på listen/lista,"Mens kvinne og svart står på listen, gjør ikke mann og hvit det.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,122,[NOE/NOEN] passe inn med [NOE/NOEN],"Alt som ikke passer inn med deres ideologi, skal ut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,123,[NOEN] søke (gjennom [NOE]) etter [NOE/NOEN],"Det føderale forskningsrådet søker gjennom forskningsaktiviteter, prosjekter og søknader etter ord og språk som kan bryte med presidentordrene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,124,[NOE] trå/tre i kraft,"Rett før ordren trådte i kraft, blokkerte en føderal dommer den. / Endringene vil tre i kraft neste år (NRK).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,125,[NOE/NOEN] skape hodebry for [NOEN],Det skaper hodebry for universitetene.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,126,VERB frem/fram til LEDDSETNING,De ble bedt om ikke å forplikte seg til økonomiske utgifter fram til universitetet visste om det ville få dekket dette gjennom føderal finansiering eller ikke.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,? over VERB-INF,Laura Janda,,127,[NOEN] bli/være overrasket over [NOE/NOEN],Trump var overrasket over å bli president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,128,"X, om ikke Y","Det internasjonale samarbeidet med USA blir vanskelig, om ikke umulig.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anna Endresen,,129,målet med X være å VERB-INF / at LEDDSETNING,Målet med animasjonsserien er å skape trygge klassemiljøer og forebygge og redusere mobbing på skolen og på skoleveien.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paulina Horbowicz (Torodd Kinn har en artikkel om dette),,130,ADJEKTIV nok,interessant nok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paulina Horbowicz,,131,KOMPARATIV og KOMPARATIV,bedre og bedre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paulina Horbowicz (Urd Vindenes),,132,se og VERB,Se og få deg et liv!,,,,,,,,,,,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Urd Vindenes (Svein Lie har en artikkel om konstruksjonen),,133,gå hen og VERB,Han gikk hen og fikk A på eksamen!,,,,,,,,,,,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Urd Vindenes (se Vannebo),,134,ta og VERB,Han tok og flytta bilen i stad.,,,,,,,,,,,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Urd Vindenes (Torodd Kinn har en artikkel om det),,135,drive og VERB,De driver og jobber.,,,,,Konstruksjonen brukes for å uttrykke at en aktivitet er i gang eller foregår over en periode. Det gir en følelse av at handlingen er pågående eller gjentakende. ,,Min venninne og jeg driver og planlegger tur til Mount Everest Basecamp (NoWaC),Det er noen som driver og forteller at Jesus drev og vekte opp fugler og sånt fra de døde (NoWaC),Nå har jeg nettopp kommet hjem fra skolen og Tora driver og lager pannekaker til meg (NoWaC),,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Urd Vindenes,,136,sitte og VERB,De satt og leste da det ringte på.,,,,,,,,,,,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Urd Vindenes (se Lødrup, Kinn ++ for litteratur). ",,137,VERB og VERB (pseudokoordinering),Vær snill og send saltet. Vi driver og lurer på det. ,,,,,,,,,,,,,Pseudokoordinering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,138,det hende (at) LEDDSETNING,Det hender han blir sint.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,[NOE/NOEN] - SETNING det handler (ikke) om hvor/hvordan/hvem X,139,[NOE] handle om hvor/hvordan/hvem VERB,Det handler ikke om hvordan du har det.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,til tross for [NOE] er en enklere konstruksjon,140,til tross for at X,til tross for at det er store vanskeligheter i Europa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,141,[NOEN] få vite at X,Hun skulle få vite at hun er same.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,142,[NOEN] holde kjeft,Hun kunne ikke holde kjeft når hun fikk se det.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,143,(h)verken X eller Y,Hverken lærere eller elever kan stave dette ordet riktig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,144,bortsett fra X,"Bortsett fra det, er det noe annet du ønsker?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,145,[NOEN] ha rett,Hun har rett.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,146,[NOEN] ha is i magen,"Vi må ha is i magen, det kommer til å gå bra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,OLAF: [NOEN] få lov til [NOE] ? gjere gjøre er det skrivefeil,147,[NOEN] få lov til å X,Det er ei ære og glede å få lov til å gjere det.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valentina Zhukova,,148,til og med X,Hun var så flink at hun til og med underviste læreren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valentina Zhukova,Si ikommenta om forkortelsen (bl.a.),149,blant annet X,"Vi besøkte flere byer, blant annet Oslo og Bergen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valentina Zhukova,,150,[NOEN] ta feil,Du tar feil!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,151,ADJEKTIV/ADVERB sett,Historisk sett har det kristne trossamfunnet hatt en sterk tradisjon for avholdenhet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,152,hver enkelt X,Det er viktig at hver enkelt forsker etterstreber balanse og objektivitet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,153,VERB over en lav sko,E-postadresser ble utvekslet over en lav sko.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,154,kjempe-X,"kjempejobb, kjempesjanse, kjempesuksess / kjempebra, kjempefin, kjempegod / kjempefort, kjempesakte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anna Endresen,,155,små-ADJEKTIV/VERB/SUBSTANTIV,Han er småsyk. Småsliten etter første arbeidsdag. Småløpe. Småspise. Småting. Smågodt.,,,,,,,De småløp ned til stasjonen. Småbarna småspiste smågodt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,156,heller X (enn Y),Han vil heller spille enn å prate med meg.,,,,,,,,,,,,,Morfologisk konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,157,[NOEN] sette (stor) pris på [NOE/NOEN],Jeg setter stor pris på din støtte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,158,[NOE] gå opp for [NOEN],Et tap som først gikk opp for meg da jeg kom tilbake og så hva jeg hadde forlatt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,159,VERB seg i hjel,Flere drikker seg i hjel enn tidligere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,160,[NOEN] se fram til [NOE],Jeg ser fram til samarbeid med dere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anna Endresen,[NOEN] glede seg til [NOE] eller: glede seg til å V,161,[NOEN] glede seg til [NOE],Jeg gleder meg til å se dere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,VERB til SUBSTANTIV-GENITIV,162,V til SUBSTANTIV-s,"gå til sengs, dra til fjells, komme til bords, dra til sjøs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,163,[NOEN] miste [NOE/NOEN] av syne,Så mista vi begge den yngste broren vår av syne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,164,det stå ADVERB til med X,Hvordan står det til med moren din? Det står bra til.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,165,[NOE] stå på i [STED],De snakket høyt og ivrig om hva som sto på i bygda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,166,VERB (ikke) (engang) SPØRREORD LEDDSETNING,Jeg vet ikke engang hvorfor jeg forsøker å gjøre det.,,,,,,,Det står ikke så bra til med henne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,167,[NOEN] være dårlig til be(i)ns,Hun er dårlig til beins.,,,,,,,Han er lett til beins.,Ungdom som er raske til beins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,er det oftest med nektelse?,168,[NOEN] ha peiling,Jeg har ikke peiling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,169,[NOEN] bli/være i stand til å VERB-INF,Hun skal være i stand til å holde foredraget sitt i morgen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,170,ikke ha VERB-PARTISIPP på [TALL] [TID],Han har ikke jobbet på tre år.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,171,ikke ha VERB-PARTISIPP siden [TID],Han har ikke jobbet siden Covid-19.,,,,,Konstruksjonen uttrykker at en situasjon ikke gjelder fra et gitt tidspunkt i fortiden og frem til taletidspunktet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,172,fort gjort (å VERB-INF),Det er fort gjort å skrive litt feil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,173,[NOEN] late som [NOE],Hun later som ingenting.,,,,,,,De gikk inn i 54 valgboder og lot som de var rasister (NoWaC),DN kutter ut professoren som lot som han var reklamemann (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,174,[NOE/NOEN] ende opp med å VERB-INF,Trond Viggo og Marte Stokstad prøvde seg som stuntmenn og endte opp med å gi hverandre juling.,,,,,,,"Fekk 1200 kr å bruke på ka som helst, men endte opp med en pose boller og litt snop",De svømmer inn i navelen din og ender opp med å komme ut munnen (NoWaC),Kanskje de bare later som om de ikke forstår det? (NoWaC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,175,det være sant (at LEDDSETNING),A: Det er et lite sted. B: Det er sant.,,,,,,Focal construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1093/applin/amae006,,Laura Janda,,176,[NOEN] ta seg (selv) i å VERB-INF,Hun kan ta seg i å savne sjølufta når hun besøker barndomsbygda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,det ane-REFL X Cl,177,det ane [NOEN] LEDDSETNING,Det aner meg hva faren min føler hver gang kystlandet slepper taket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,178,[NOEN] få tak i [NOE/NOEN],Jeg skal få tak i ham og ordne opp i dette.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,179,[NOEN] ordne opp i [NOE],Jeg skal få tak i ham og ordne opp i dette.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,180,[NOEN] sette [NOE] på spill,Han setter æren på spill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,181,[NOE] komme ikke på tale,Salg av Grønland kommer ikke på tale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,182,[NOEN] kaste seg inn/ut i [NOE],Hun kaster seg inn i diskusjonen. Jeg kastet meg ut i dansen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,183,[NOEN] legge ned [NOE],UiB vedtok å legge ned kinasenter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,184,[NOEN] lyse ut [NOE],Høgskulen på Vestlandet (HVL) lyser ut to prorektor- og to dekanstillinger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,185,i lys av X,"Jeg støtter utvidelse av stipeder, spesielt i lys av fortsatt økende kostnader for individuelle studenter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anna,,186,[NOE] gå i vasken,Dette gjør du hvis flyturen går i vasken.,,,,,Konstruksjonen uttrykker at X mislykkes eller ikke går som planlagt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olaf,,187,det bli ikke noe av X,Det ble ikke noe av prosjektet.,,,,,Konstruksjonen uttrykker at X mislykkes eller ikke går som planlagt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,188,[NOEN] ta seg av [NOE/NOEN],Jeg skal ta meg av deg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,189,[NOEN] trappe opp/ned [NOE],Selvfølgelig må Norge trappe opp beredskap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,190,[NOEN] dra nytte av [NOE],Professor Bjørn Tore Gjertsen mener at han drar nytte av musikken når han forsker.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,191,[NOE/NOEN] VERB-s for [NOE] (av [NOEN]),Samene utsettes for hets (av etniske nordmenn).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,Samene utsettes for hets.,192,[NOE/NOEN] være VERB-PARTISIPP for [NOE] (av [NOEN]),Samene er utsatt for hets (av etniske nordmenn).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,193,[NOE/NOEN] bli VERB-PARTISIPP for [NOE] (av [NOEN]),Samene blir utsatt for hets (av etniske nordmenn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laura Janda,,194,sjøl(v)/selv X,Sjøl vitenskapen er ikke mer objektiv enn vitenskapsfolkene som står bak den.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
